Time: 0.00 | VS: 24.80 | HS: 932.00 | Dist: 181000.00 | Altitude: 13748.00 | Angle: 58.00° | Weight: 286.06kg | Acc: 0.00 | Fuel: 121.06L | NN: 0.70
Time: 10.00 | VS: 21.89 | HS: 915.51 | Dist: 171763.40 | Altitude: 13511.60 | Angle: 58.00° | Weight: 283.92kg | Acc: 1.85 | Fuel: 118.92L | NN: 0.83
Time: 20.00 | VS: 22.61 | HS: 904.61 | Dist: 162675.62 | Altitude: 13293.42 | Angle: 58.00° | Weight: 282.73kg | Acc: 0.96 | Fuel: 117.73L | NN: 0.43
Time: 30.00 | VS: 23.43 | HS: 893.70 | Dist: 153683.82 | Altitude: 13059.31 | Angle: 58.00° | Weight: 281.38kg | Acc: 1.70 | Fuel: 116.38L | NN: 0.76
Time: 40.00 | VS: 22.31 | HS: 879.51 | Dist: 144826.56 | Altitude: 12832.32 | Angle: 58.00° | Weight: 279.75kg | Acc: 1.46 | Fuel: 114.75L | NN: 0.65
Time: 50.00 | VS: 23.01 | HS: 868.00 | Dist: 136095.45 | Altitude: 12605.89 | Angle: 58.00° | Weight: 278.42kg | Acc: 1.40 | Fuel: 113.42L | NN: 0.62
Time: 60.00 | VS: 22.85 | HS: 854.97 | Dist: 127485.29 | Altitude: 12375.65 | Angle: 58.00° | Weight: 276.89kg | Acc: 1.62 | Fuel: 111.89L | NN: 0.71
Time: 70.00 | VS: 22.68 | HS: 841.70 | Dist: 119009.65 | Altitude: 12148.83 | Angle: 58.00° | Weight: 275.38kg | Acc: 1.49 | Fuel: 110.38L | NN: 0.65
Time: 80.00 | VS: 22.92 | HS: 828.88 | Dist: 110662.52 | Altitude: 11920.43 | Angle: 58.00° | Weight: 273.91kg | Acc: 1.58 | Fuel: 108.91L | NN: 0.69
Time: 90.00 | VS: 22.76 | HS: 815.24 | Dist: 102448.40 | Altitude: 11692.02 | Angle: 58.00° | Weight: 272.36kg | Acc: 1.61 | Fuel: 107.36L | NN: 0.70
Time: 100.00 | VS: 22.81 | HS: 801.71 | Dist: 94370.53 | Altitude: 11464.34 | Angle: 58.00° | Weight: 270.84kg | Acc: 1.60 | Fuel: 105.84L | NN: 0.69
